TITLE,A1,A2,JOURNAL,YEAR,AGE,Rank,H Count,IN PRESS,2002,2003,2004,2005,2006,2007,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TOTAL,salt,salted,GOOGLE,Cites Per Year,C+12,R+12,H+12,C+24,R+24,H+24,C+24,R+24,H+36,>100,>100+12,>100+24,>100+36,*,H
"Decoupling structural and environmental determinants of sap velocity: Part I, Theoretical development","Caylor, K.K.","Dragoni, D.",Agriculture & Forest Meteorology,2009,13,60,0,0,,,,,,,,,1,1,3,0,3,2,2,3,1,4,0,2,3,0,25,0.8,25.8,32,1.8,27,64,0,29,66,0,30,67,0,0,0,0,0,0,0
Smallholder farmers' use of mobile phone services in central Kenya,"Krell, N.T.","Girouz, S.A.",Climate and Development,2020,2,61,0,,,,,,,,,,,,,,,,,,,,,4,15,5,24,0.1,24.1,11,8.0,32,54,0,40,42,0,48,39,1,0,0,0,0,0,0
"A large‐area, spatially continuous assessment of land cover map error and its impact on downstream analyses","Estes, L.","Chen, P.",Global Change Biology,2018,4,62,0,,,,,,,,,,,,,,,,,,,2,12,9,1,0,24,0.9,24.9,28,4.8,29,58,0,34,57,0,38,51,0,0,0,0,0,0,0
"A platform for crowdsourcing the creation of representative, accurate landcover maps","Estes, L","McRitchie, D.",Environmental Modelling & Software,2016,6,63,0,,,,,,,,,,,,,,,,,1,2,6,6,6,2,1,24,0.7,24.7,32,3.4,27,62,0,31,62,0,34,62,0,0,0,0,0,0,0
Continental-scale impacts of intra-seasonal rainfall variability on simulated ecosystem responses in Africa,"Guan, K.","Good, S.P.",Biogeosciences,2014,8,64,0,,,,,,,,,,,,,,,0,2,1,2,5,5,5,3,1,24,0.1,24.1,31,2.7,27,65,0,29,65,0,32,65,0,0,0,0,0,0,0
Regional fuel load for two climatically contrasting years in southern Africa,"Hely, C","Dowty, PR",JGR - Atmospheres,2003,19,65,0,0,,1,3,4,1,2,,2,1,2,3,1,1,1,0,1,0,0,0,0,1,0,24,0.8,24.8,51,1.2,25,67,0,26,68,0,28,69,0,0,0,0,0,0,0
An ecohydrological approach to predicting hillslope-scale vegetation patterns in dryland ecosystems,"Franz, TE","Caylor, K.K.",Water Resources Research,2012,10,66,0,0,,,,,,,,,,,,3,3,5,2,3,3,0,3,0,0,0,22,0.5,22.5,70,2.0,24,69,0,26,69,0,28,68,0,0,0,0,0,0,0
Simulated productivity of heterogeneous patches in Southern African savanna landscapes using a canopy productivity model,"Caylor, K.K.","Shugart, HH",Landscape Ecology,2004,18,67,0,0,,,0,0,3,2,,3,1,2,1,0,2,0,0,1,0,4,1,1,1,0,22,0.5,22.5,31,1.2,23,70,0,24,72,0,25,75,0,0,0,0,0,0,0
A global database of water vapor isotopes measured with high temporal resolution infrared laser spectroscopy,"Wei, Zhongwang","Lee, Xuhui",Scientific Data,2019,3,68,0,,,,,,,,,,,,,,,,,,,,6,4,11,0,21,0.8,21.8,13,5.3,26,66,0,32,60,0,37,56,0,0,0,0,0,0,0
"Triple oxygen isotope composition of leaf waters in Mpala, central Kenya","Li, S.","Dennis, K.",Earth & Planetary Science Letters,2017,5,69,0,,,,,,,,,,,,,,,,,,0,4,3,0,13,1,21,0.6,21.6,17,3.5,25,68,0,28,67,0,32,66,0,0,0,0,0,0,0
"Ecohydrology in Practice: Strengths, Conveniences, and Opportunities","King, E.G.","Caylor, K.K.",Ecohydrology,2011,11,70,0,0,,,,,,,,,,,0,4,3,6,2,1,3,1,0,0,0,1,21,0.8,21.8,32,1.8,23,71,0,25,70,0,26,71,0,0,0,0,0,0,0
Ecosystem-scale spatial heterogeneity of stable isotopes of soil nitrogen in African savannas,"Wang, L.","Okin, GS",Landscape Ecology,2013,9,71,0,0,,,,,,,,,,,,0,3,1,3,4,1,4,0,0,3,1,20,0.1,20.1,21,2.0,22,72,0,24,73,0,26,73,0,0,0,0,0,0,0
Relationship between small-scale structural variability and simulated vegetation productivity across a regional moisture gradient in southern Africa,"Caylor, K.K.","Dowty, PR",Global Change Biology,2004,18,72,0,2,,,1,1,2,4,,2,2,1,1,1,0,0,1,1,0,1,0,1,1,0,20,0.1,20.1,33,1.1,21,74,0,22,76,0,23,77,0,0,0,0,0,0,0
"Reconciling agriculture, carbon and biodiversity in a savanna transformation frontier","Estes, L.","Searchinger, T.",Philosophical Transactions of the Royal Society B - Biological Sciences,2016,6,73,0,,,,,,,,,,,,,,,,,1,1,4,2,5,5,1,19,1.0,20.0,22,2.7,22,73,0,24,71,0,27,70,0,0,0,0,0,0,0
Nutrient limitation on above-ground grass production in four savanna types along the Kalahari Transect,"Ries-O’Halloran, L","Shugart, HH",Journal of Arid Environments,2010,12,74,0,0,,,,,,,,,,0,1,2,1,0,4,1,1,1,3,2,3,0,19,0.1,19.1,24,1.5,20,75,0,22,77,0,23,76,0,0,0,0,0,0,0
Deforestation-induced warming over tropical mountain regions regulated by elevation,"Zeng, Z.","Wang, D.",Nature Geoscience,2021,1,75,0,,,,,,,,,,,,,,,,,,,,,,12,6,18,0.8,18.8,0,9.0,27,63,0,36,50,0,45,43,1,0,0,0,0,0,0
"Simulated sensitivity of African terrestrial ecosystem photosynthesis to rainfall frequency, intensity, and rainy season length","Guan, K.","Good, S.P.",Environmental Research Letters,2018,4,76,0,,,,,,,,,,,,,,,,,,,2,2,5,6,1,16,0.6,16.6,13,3.2,19,76,0,22,75,0,26,74,0,0,0,0,0,0,0
A quantitative description of the interspecies diversity of belowground structure in savanna woody plants,"O’Donnell, FC","Caylor, K.K.",Ecosphere,2015,7,77,0,,,,,,,,,,,,,,,,0,0,1,3,2,4,5,1,16,0.1,16.1,12,2.0,18,78,0,20,78,0,22,79,0,0,0,0,0,0,0
"Ecohydrological interactions in a two-phase mosaic dryland: implications for regime shifts, resilience, and restoration","King, E.G.","Franz, TE",Ecohydrology,2012,10,78,0,0,,,,,,,,,,,,1,1,2,1,1,1,2,3,2,2,0,16,0.6,16.6,26,1.5,17,79,0,19,80,0,20,80,0,0,0,0,0,0,0
Cognitive biases about climate variability in smallholder farming systems in Zambia,"Waldman, K","Vergopolan, N.","Weather, Climate & Society",2019,3,79,0,,,,,,,,,,,,,,,,,,,,1,5,9,0,15,0.1,15.1,12,3.8,19,77,0,23,74,0,26,71,0,0,0,0,0,0,0
Characterizing ecohydrological and biogeochemical connectivity across multiple scales: a new conceptual framework,"Wang, L.","Zou, C.",Ecohydrology,2012,10,80,0,0,,,,,,,,,,,,4,0,1,1,1,3,2,0,2,1,0,15,0.1,15.1,24,1.4,16,80,0,18,81,0,19,83,0,0,0,0,0,0,0
On The Vulnerability of Water Limited Ecosystems to Climate Change,"Manfreda, S.","Caylor, K.K.",Water,2013,9,81,0,0,,,,,,,,,,,,,1,1,3,1,4,2,1,1,0,0,14,0.0,14.0,21,1.4,15,82,0,17,82,0,18,85,0,0,0,0,0,0,0
Metabolic principles of river basin organization,"Rodriguez-Iturbe, I","Caylor, K.K.",Proceedings of the National Academy of Sciences,2011,11,82,0,0,,,,,,,,,,,0,2,3,2,1,2,1,1,1,1,0,0,14,0.1,14.1,24,1.2,15,83,0,16,85,0,18,87,0,0,0,0,0,0,0
Variability in urban population distributions across Africa,"Tuholske, C.","Caylor, K.K.",Environmental Research Letters,2019,3,83,0,,,,,,,,,,,,,,,,,,,,0,2,10,1,13,0.7,13.7,2,3.3,16,81,0,20,79,0,23,78,0,0,0,0,0,0,0
"Global patterns of the contributions of storm frequency, intensity, and seasonality to inter-annual variability of precipitation","Good, S.P.","Guan, K.",Journal of Climate,2016,6,84,0,,,,,,,,,,,,,,,,,0,4,4,3,1,1,0,13,0.9,13.9,14,1.9,15,84,0,17,83,0,19,84,0,0,0,0,0,0,0
A temporally explicit Production Efficiency Model for fuel load allocation in southern Africa,"Hely, C","Caylor, K.K.",Ecosystems,2007,15,85,0,0,,,,,,0,,0,1,2,1,1,3,1,0,1,1,0,1,0,1,0,13,1.0,14.0,23,0.8,14,85,0,15,90,0,15,93,0,0,0,0,0,0,0
Household-level heterogeneity of water resources within common-pool resource systems,"McCord, P.","Dell’Angelo, J.",Ecology and Society,2017,5,86,0,,,,,,,,,,,,,,,,,,1,3,2,3,2,0,11,0.1,11.1,17,1.8,13,87,0,15,88,0,16,89,0,0,0,0,0,0,0
Calibration of a parsimonious distributed ecohydrological daily model in a data-scarce basin using exclusively the spatio-temporal variation of NDVI,"Ruiz-Perez, G.","Koch, J.",Hydrology and Earth System Science,2017,5,87,0,,,,,,,,,,,,,,,,,,0,1,4,2,2,2,11,0.8,11.8,14,1.8,13,87,0,15,88,0,16,89,0,0,0,0,0,0,0
